,tweet
0,RT @h2oai: Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and #machinelearning. Jo…
1,RT @BillMew: The next big #privacy scare is a #facialrecognition tool you've never heard of - @thenextweb https://t.co/8T3DEjUoPo #GDPR #su…
2,"RT @macordero: Humans are and have always been vulnerable to being tricked, provoked, conditioned, deceived, or otherwise manipulated.  htt…"
3,RT @voxdotcom: AI can help find illegal opioid sellers online. And wildlife traffickers. And counterfeits. https://t.co/PwwhXx1Iz5
4,2020: The Year Of Artificial Intelligence For Your Business - https://t.co/hbHU7xBLgX #ai
5,https://t.co/L3rE6enjAW
6,AI can help find illegal opioid sellers online. And wildlife traffickers. And counterfeits. https://t.co/PwwhXx1Iz5
7,"What’s it like going to a liberal arts college?

Today I studied Constitutional law, immigration economics, artific… https://t.co/BCUqjxbNNg"
8,"RT @antgrasso: Artificial Intelligence has the potential to help humans make fairer decisions, but only if we carefully work toward fairnes…"
9,RT @h2oai: Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and #machinelearning. Jo…
10,RT @h2oai: Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and #machinelearning. Jo…
11,"AI Bytes: The Speed of Artificial Intelligence https://t.co/H3RleHLnye

#artificialintelligence https://t.co/o2y2dTIXY9"
12,Artificial Intelligence in Healthcare — Inovalon https://t.co/QJXcP1S0OT https://t.co/GB5WYe3Utc
13,Having a deep conversation with an Artificial Intelligence right now... kinda scared.
14,5 Ways to Get Your Business Ready for AI in 2020. https://t.co/u2KuVCd87y https://t.co/WM21gZTTap
15,RT @h2oai: Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and #machinelearning. Jo…
16,"RT @JohnLeksander: What if the artificial intelligence biological hologram machine, super computer is in Antarctica to keep it cool and tha…"
17,RT @h2oai: Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and #machinelearning. Jo…
18,"RT @JohnLeksander: What if the artificial intelligence biological hologram machine, super computer is in Antarctica to keep it cool and tha…"
19,RT @Accenture: O que podemos aprender com as empresas que investem com êxito em Inteligência Artificial? Nosso estudo explica como obter ma…
20,Just two more days until our much anticipated #LA meetup with the women leading the way in #datascience and… https://t.co/kQjGR8oiMu
21,RT @techreview: Can artificial intelligence really be an inventor? Some campaigners are putting this question to the test.  https://t.co/Dv…
22,RT @technology: IBM calls for rules aimed at eliminating bias in artificial intelligence to ease concerns that the technology relies on dat…
23,@mims_words Artificial Intelligence has no soul.
24,RT @iot_ng: New post: USPTO Artificial Intelligence Patent Issues Federal Notice – The National Law Review https://t.co/OcC6bXIG1L
25,RT @mpyllan: Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics | MIT | Artificial Intelligence Podcast https://t.co/RmZerWU1k4
26,"RT @jpwarren: ""65% of Australian business leaders said they see artificial intelligence (AI) as the Industry 4.0 technology to likely have…"
27,RT @AINewsFeed: Artificial Intelligence Is About To Transform Video – ArtsJournal https://t.co/tPg59PWW9S #ai #ml #dl
28,"RT @dstamato: Top Artificial Intelligence Companies in Healthcare to Keep an Eye On

Google Health/DeepMind
IBM Watson Health
Oncora Medica…"
29,RT @alexclcheung: Artificial Intelligence in Healthcare — Inovalon https://t.co/TamzvdJni9 https://t.co/gUUNArde3k
30,Google CEO calls for artificial intelligence regulation https://t.co/8FiKbWz2JA  @wionews
31,"RT @LudwickSamuel: Brain to Computer Interface (B.C.I.), and Artificial Intelligence (A.I.) for ""Mind Control"" Was Developed by Torturing a…"
32,"@Tom_MD_ @cnni But we so need artificial intelligence because many are lacking ""natural intelligence"" 😁"
33,New post: USPTO Artificial Intelligence Patent Issues Federal Notice – The National Law Review https://t.co/OcC6bXIG1L
34,Grant Sanderson: 3Blue1Brown and the Beauty of Mathematics | MIT | Artificial Intelligence Podcast https://t.co/RmZerWU1k4
35,"""65% of Australian business leaders said they see artificial intelligence (AI) as the Industry 4.0 technology to li… https://t.co/IWdQvNVLIP"
36,Artificial Intelligence Is About To Transform Video – ArtsJournal https://t.co/tPg59PWW9S #ai #ml #dl
37,"RT @JBotzenhart: @MunchAFiction If you enjoy romantic, artificial intelligence thrillers, please check out my book, Perfection.
https://t.c…"
38,"RT @VodafoneBiz: ""They predicted that in 2020 #AI would eliminate 1.8m jobs and at the same time create 2.3m jobs."" via @thrive. Read on: h…"
39,RT @mlamons1: Whoever leads in Artificial Intelligence in 2030 will rule the world until 2100. The gauntlet has been thrown - what we do ne…
40,RT @Achievers: #AI in the workplace has everyone wondering how their job will be affected. Technology is changing how employees engage with…
41,"Top Artificial Intelligence Companies in Healthcare to Keep an Eye On

Google Health/DeepMind
IBM Watson Health
Onc… https://t.co/PCEnpRtrSl"
42,@tprstly @QuickTake Artificial intelligence is immensely important for the future. lol
43,Artificial Intelligence in Healthcare — Inovalon https://t.co/TamzvdJni9 https://t.co/gUUNArde3k
44,RT @robinyearsley: Top Artificial Intelligence Companies in Healthcare to Keep an Eye On #DigitalHealth #ArtificialIntelligence #Healthcare…
45,RT @technology: IBM calls for rules aimed at eliminating bias in artificial intelligence to ease concerns that the technology relies on dat…
46,Google CEO: 'Artificial intelligence needs to be regulated' https://t.co/4Pwx03Djnc https://t.co/0jV195bKoZ
47,RT @NATOSource: Director of DoD’s Joint Artificial Intelligence Center Gen. Shanahan: “#Russia is . . . pursuing greater use of machine lea…
48,RT @ArmyMadSci: Integrating Artificial Intelligence into Military Operations | Mad Scientist Laboratory https://t.co/XzWgZa3R5X
49,"Artificial intelligence is grabbing everyone's attention, but technology decision-makers should only invest when it… https://t.co/PR2d86Jb3k"
