,tweet
0,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
1,"RT @bigleaguepol: RT if you think Guv Coonman should stop embarrassing Virginia!

Virginia Senator Calls for Ralph Northam to Resign Amidst…"
2,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
3,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
4,"Gospel Snippets: Gun Control? How About ""Tongue Control"" https://t.co/gZZzdGu08J"
5,RT @cuban_manny: These gun laws &amp; measures have nothing to do with saving lives but confiscation of our constitutional rights to gain POWER…
6,"RT @bigleaguepol: RT if you think Guv Coonman should stop embarrassing Virginia!

Virginia Senator Calls for Ralph Northam to Resign Amidst…"
7,RT @itsJeffTiedrich: all I'm saying is that if your reaction to minor gun control legislation is to cover yourself in swastikas and go fuck…
8,"Gun control could push Virginia counties to join West Virginia

W.V. lawmakers are scrambling to let rural VA. coun… https://t.co/G6wRkPa2g6"
9,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
10,"RT @FPVaughanIII: Says he respects those who comply with our strict gun laws, and at the same time advocates for taking away their property…"
11,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
12,"RT @IWashington: #MySleeptweet Now you’ve gone from Blackface shenanigans to being a full blown Pinocchio 🤥 Enjoy your time in office, beca…"
13,RT @T_S_P_O_O_K_Y: Lie...@RepDonBeyer channels Stalin here - not one law being proposed will stop criminals but will make it easier for the…
14,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
15,"RT @bigleaguepol: RT if you think Guv Coonman should stop embarrassing Virginia!

Virginia Senator Calls for Ralph Northam to Resign Amidst…"
16,@prenomjessica @AmaniSchneider1 @davidhogg111 @CoryBooker And how well is that working in places with strict gun co… https://t.co/jfVzcr5fOB
17,"@State_Control @Gangs_WMP @NABIS_UK I'd love a P228. Unfortunately in Canada, anything with a barrel less than 4.1""… https://t.co/L5awPnURfT"
18,"RT @superstarboss1: #ClimateCrisis #guncontrol #healthcare #HousingForAll #StudentDebt #koreeactivst 
Climate Change is Human Rights 

Gun…"
19,RT @cuban_manny: These gun laws &amp; measures have nothing to do with saving lives but confiscation of our constitutional rights to gain POWER…
20,RT @DonnaWR8: ‘The irony is...WHERE do you think they’re going to implement these laws the MOST? They’re going to implement them in the MIN…
21,RT @bauerpower: The fact that even Dreamworks Animation is sending out an email about active shooter training to employees speaks to the sa…
22,https://t.co/oCLrViArfT
23,Told y’all. This impeachment mess was a big waste of time. Dems could have been pressuring them to sign in gun cont… https://t.co/GweEjzzCHp
24,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
25,"RT @bigleaguepol: RT if you think Guv Coonman should stop embarrassing Virginia!

Virginia Senator Calls for Ralph Northam to Resign Amidst…"
26,"RT @KurtSchlichter: The gun control proposals you support demand that they submit to your policies or you will use guns against them, so wh…"
27,"West Virginia, man..... https://t.co/2MbbqSSL6E"
28,"RT @IWashington: #MySleeptweet Now you’ve gone from Blackface shenanigans to being a full blown Pinocchio 🤥 Enjoy your time in office, beca…"
29,Firearm Sales In Virginia Have SKYROCKETED After Dems Vow More Gun Control - MRCTV - https://t.co/h20vwFRsrp
30,RT @CamEdwards: Giffords just released a new report that notes less than 1% of the population is responsible for most violence in cities. W…
31,RT @MelissaSweetDr: Ever wondered why the US can't pass gun control laws? A perfect example is unfolding in Vir… https://t.co/6fYqAShDT1
32,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
33,"@The2ndA Cuba, Venezuela, NK, Vietnam, China, and Laos among other countries have exercised gun control.....dont re… https://t.co/ZUdYfYeshc"
34,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
35,"RT @FPVaughanIII: Says he respects those who comply with our strict gun laws, and at the same time advocates for taking away their property…"
36,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
37,"RT @chris_scully: 🏴New @ironweedspod Alert🏴
David's back, babies! And he brought a friend (@shujaxhaider), and we get into it:
- 🐍🐍🐍 On a C…"
38,"RT @CaliDeplorable: Read..

A bill filed by Rep. Leo #Biasiucci will, if passed, make #Arizona a ""#2A  Sanctuary State"". Biasiucci describe…"
39,"RT @bigleaguepol: RT if you think Guv Coonman should stop embarrassing Virginia!

Virginia Senator Calls for Ralph Northam to Resign Amidst…"
40,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
41,RT @CamEdwards: Giffords just released a new report that notes less than 1% of the population is responsible for most violence in cities. W…
42,RT @Cl1Richard: Blair your such an A Hole. Control the gangs not the legal gun owners. Your Liebrals are definitely dumber than most think!…
43,RT @WajahatAli: My annual suggestion that a bunch of us brown and black and Muslim folks need to buy huge guns and peacefully march against…
44,RT @CamEdwards: Giffords just released a new report that notes less than 1% of the population is responsible for most violence in cities. W…
45,RT @itsJeffTiedrich: all I'm saying is that if your reaction to minor gun control legislation is to cover yourself in swastikas and go fuck…
46,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
47,RT @NjfTldr: @LionelMedia @1776retweets171 gun control is not the issue.  the issue is demographics.   and gun control cannot fix demograph…
48,RT @mistermegative: Thread: my thoughts on just how badly America needs gun control have changed after the #Richmond2ARally. Yours should c…
49,"RT @BonginoReport: To the surprise of no one, Ralph Northam is hardly making good on his promise yesterday to ""listen to all Virginians"" ht…"
