,time,text
0,2020-02-09,"Meanwhile, as Nats fight for more coal, crossbenchers Zali Steggall, Sharkie, Haines and Wilkie, will release the climate change national framework for adaption and mitigation bill today, based on existing laws in UK, NZ and Ireland. ⁦@AmyRemeikis⁩"
1,2020-02-09,"We want to fight climate change and protect our future together, and we can only do that by standing up to people who put profit before everything else. A better world is coming, we really believe that."
2,2020-02-09,And that’s why the episode was funny to you. Because you’re climate change deniers. Case in point. 
3,2020-02-09,We've gotten nothing this winter. Maybe 1/2 inch. And I'm in the Pocono Mtns in PA! Damn #ClimateChange
4,2020-02-09,Now I'm triggered!!!! Why wont you just vote for the greatest politician who's ever lived. No other politician promises to harness zombie power to combat climate change. Vermin is the real deal!
5,2020-02-09,"Climate change is mythology and the biggest con of the modern age. There is no climate emergency. Climate change believing bot,blocked. By the way,Arsenal are shit."
6,2020-02-09,"It happened for me way before this, during my days of hanging out with Greenpeace pubs in my hometown of Lewes, once the headquarters of Greenpeace before they moved to Amsterdam. All these examples are just pointers along the way to the arrogance of the climate change lobby."
7,2020-02-09,This climate change nonsense is now getting beyond a joke? It’s just a tax on the people of the country! The left think they have the right to scare the kids into submission &amp; it’s all just a hoax! Scientists have proved it’s a hoax! 
8,2020-02-09,"100% of climate change is manmade. There are 11,000 scientists telling us it’s an emergency. "
9,2020-02-09,"No-one denies that climate change occurs. However many question whether changes to the climate are human induced. And many who are skeptical, actually do believe that humans have an impact, but heavily question whether the lvl of impact portrayed by alarmists is accurate."
10,2020-02-09,He was spending trillions on jet fuel? did I win?
11,2020-02-09,"An ad by the paper where they like to tell us we're causing climate change and that we should do something about it. But forget that, let's all fly here, there and everywhere and increase our carbon footprint. "
12,2020-02-09,Zali Steggall to unveil climate change bill and push for a conscience vote for MPs https://www.theguardian.com/australia-news/2020/feb/10/zali-steggall-to-unveil-climate-change-bill-and-push-for-a-conscience-vote-for-mps?CMP=share_btn_tw
13,2020-02-09,"#Auspol When it comes to Zali Steggall seeking bipartisan support for conscience vote on Climate Change Action bill, I:"
14,2020-02-09,"Ths is a must read for parents interested in helping their kids deal with climate change or if they, themselves, need help with how to talk to their kids about climate change. "
15,2020-02-09,We're in a struggle for the SOUL of young people too! Let's get them off the streets! Let's call out the climate change hoax that liberals have brainwashed children into believing! 
16,2020-02-09,"Exactly. Global cooling, morphed to global warming, is now today's ""Climate Change"". It's only goal is tax and control. "
17,2020-02-09,Typical. You don't even think climate change is real.
18,2020-02-09,Sad to see for these folk. Results of greedy fossil fuel empire and their global warming. This will only get worse until people get together and demand change. Think of all the jobs created by committing to New sources of power toend climate change! AND stopping this a byproduct.
19,2020-02-09,#NHprimary2020 #NHprimary #Parasite #SundayFunday #SundayFeels #SundayMotivation #BLM #BlackHistoryMonth #BlackLivesMatter #Racism #nhpolitics #IowaCaucuses2020 #Election2020 #Elections2020 #Elecciones2020 #Oscar2020 #ClimateChange #BernieBeatsTrump #Bernie2020 #MedicareForAll
20,2020-02-09,The fetus fears the surgeon’s knife more than any theoretical climate change. Prudence dictates that one defends those that can and should be defended.
21,2020-02-09,Climate change is the new religion.
22,2020-02-09,"What IF Lawmakers TOTALLY shut down the USA US contributes 13% of ""0.20°C /Decade"" or 0.002°C /yr. to AGW &amp;amp; Climate Change. Thus: The MAX reduction of 0.002°C /yr. for the USA makes no measurable difference in Climate Change. (prove me wrong) https://en.wikipedia.org/wiki/List_of_countries_by_carbon_dioxide_emissions"
23,2020-02-09,"Must be a fake photo. According to the high priests of Climate Change, the Maldives were predicted to be submerged by 2018"
24,2020-02-09,"Food Security, Climate Change, and Sustainable Food Systems https://agrardebatten.blog/2019/10/16/food-security-climate-change-sustainable-food-systems/ via @wordpressdotcom"
25,2020-02-09,"so ..here we are then...the THREE PLATES...of biblical foretelling.....Fire ,Flood and Famine..( i never did pay much attention in scripture class!)....all in the same two months...the Rapture is Ruptured....served up by a World that doesn't discriminate-much like climate change"
26,2020-02-09,"I wonder if all the Climate Deniers who said Arsonists were lighting the bushfires, now think the floods are the cause of Floodists leaving their taps on? #ClimateEmergency #ClimateChange #AustraliaBushfires"
27,2020-02-09,Barnaby Joyce basically admitted that the government isn't taking more action on climate change due to monetary reasons. Gina must be paying him some serious coin.
28,2020-02-09,Gli uragani arrivano anche da noi adesso ma il #climatechange è una bufala...se una elefantessa che ci cascherà in testa. 
29,2020-02-09,THE HOT WIRE TIMES: BLACK DEATH AND CLIMATE CHANGE https://peterblakeboroughsblog.blogspot.com/2014/08/black-death-and-climate-change.html?spref=tw
30,2020-02-09,It’s the 75% of people outside the prairies that buy into climate change hysteria and support a carbon tax that are the problem.
31,2020-02-09,Now how about exponential growth in relation to climate change?
32,2020-02-09,oh my fucking god we deserve climate change 
33,2020-02-09,"By 2220, climate change has altered the Gulf Stream turning the United States into an Eskimo pie. Most Americans flee south into Mexico. But Mexico has finally built, and paid for, a wall to keep out the deplorable Americans."
34,2020-02-09,Wondering how @ScottMorrisonMP will handle the #NSWFloods When will we hear from him or is he sunning himself in the Maldives? #auspol #ScoMoMustGo #scottyfommarketing #ClimateChange
35,2020-02-09,Scientists are using Twitter to measure the impact of climate change 
